Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "audio_capelet_a2.brd" as of: 26/07/2016 10:30
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.960,0.400,180
C2,Top,1.160,0.430,0
C3,Top,1.260,0.520,270
C4,Top,1.170,0.920,0
C5,Top,0.970,0.860,180
C6,Top,0.880,1.020,0
C7,Top,1.520,0.510,180
C8,Top,1.660,0.370,270
C9,Top,1.790,0.510,270
C10,Top,1.680,1.100,0
C11,Top,1.520,1.160,180
C12,Top,1.430,1.020,0
C13,Bottom,1.730,0.460,180
C14,Bottom,1.620,0.330,270
C15,Bottom,1.490,0.490,270
C16,Bottom,1.610,1.100,0
C17,Bottom,1.720,1.260,90
C18,Bottom,1.850,1.110,90
C19,Bottom,0.710,0.380,270
C20,Bottom,0.620,0.320,270
C21,Bottom,0.470,0.430,270
C22,Bottom,0.630,1.060,90
C23,Bottom,0.700,1.070,90
C24,Bottom,0.880,0.980,0
C25,Bottom,0.840,1.630,270
C26,Bottom,0.910,1.510,90
C27,Bottom,0.930,1.610,180
C28,Bottom,0.910,1.360,270
C29,Bottom,0.930,1.270,180
C30,Bottom,0.840,1.260,90
C31,Bottom,0.440,1.370,270
C32,Bottom,0.420,1.270,0
C33,Bottom,0.510,1.260,90
C34,Bottom,0.440,1.510,90
C35,Bottom,0.420,1.600,0
C36,Bottom,0.510,1.630,270
C37,Top,0.430,1.520,90
C38,Top,0.420,1.610,180
C39,Top,0.510,1.630,270
C40,Top,0.430,1.370,270
C41,Top,0.420,1.270,180
C42,Top,0.510,1.250,90
C43,Top,0.910,1.360,270
C44,Top,0.930,1.260,0
C45,Top,0.840,1.260,90
C46,Top,0.910,1.510,90
C47,Top,0.920,1.600,0
C48,Top,0.830,1.630,270
C49,Top,0.550,0.590,180
C50,Top,0.640,0.480,90
C51,Top,0.850,0.670,270
C52,Top,1.410,0.790,270
C53,Bottom,1.480,0.790,270
C54,Bottom,0.860,0.720,270
C55,Bottom,0.670,1.630,180
C56,Top,0.670,1.290,180
C57,Top,1.170,0.670,270
C58,Top,1.790,0.790,270
C59,Bottom,1.840,0.780,270
C60,Bottom,0.490,0.740,270
C61,Bottom,0.670,1.290,180
C62,Top,0.670,1.610,180
IC1,Top,1.030,0.670,90
IC2,Top,1.590,0.790,90
IC3,Bottom,1.670,0.780,90
IC4,Bottom,0.670,0.730,90
IC5,Bottom,0.670,1.440,0
IC6,Top,0.670,1.440,0
IC7,Top,0.540,0.480,180
R1,Top,0.850,0.520,90
R2,Top,1.150,1.630,270
R3,Top,0.960,0.470,0
R4,Top,1.060,0.330,90
R5,Top,1.060,0.450,90
R6,Top,1.170,0.520,270
R7,Top,1.260,0.640,270
R8,Top,1.170,0.820,270
R9,Top,1.250,1.630,270
R10,Top,1.070,0.900,270
R11,Top,1.000,1.020,180
R12,Top,0.970,0.960,0
R13,Top,0.850,0.830,270
R14,Top,0.830,0.930,180
R15,Top,1.410,0.650,90
R16,Top,1.350,1.630,270
R17,Top,1.520,0.570,0
R18,Top,1.590,0.280,0
R19,Top,1.690,0.460,180
R20,Top,1.690,0.530,0
R21,Top,1.800,0.640,270
R22,Top,1.790,0.930,270
R23,Top,1.450,1.630,270
R24,Top,1.680,1.040,180
R25,Top,1.680,1.230,180
R26,Top,1.520,1.090,0
R27,Top,1.410,0.920,90
R28,Top,1.410,1.130,270
R29,Bottom,1.840,0.630,90
R30,Top,1.550,1.630,270
R31,Bottom,1.730,0.530,0
R32,Bottom,1.730,0.290,0
R33,Bottom,1.570,0.420,180
R34,Bottom,1.570,0.530,0
R35,Bottom,1.480,0.620,270
R36,Bottom,1.480,0.930,270
R37,Top,1.650,1.630,270
R38,Bottom,1.610,1.030,180
R39,Bottom,1.380,0.900,0
R40,Bottom,1.760,1.170,0
R41,Bottom,1.770,1.040,180
R42,Bottom,1.850,0.940,270
R43,Bottom,0.810,0.580,90
R44,Top,1.750,1.630,270
R45,Bottom,0.740,0.470,0
R46,Bottom,0.880,0.510,270
R47,Bottom,0.590,0.410,180
R48,Bottom,0.570,0.550,0
R49,Bottom,0.575,0.490,180
R50,Bottom,0.490,0.860,90
R51,Top,1.850,1.630,270
R52,Bottom,0.600,0.970,180
R53,Bottom,0.490,0.980,90
R54,Bottom,0.730,0.980,0
R55,Bottom,0.860,0.880,90
R56,Bottom,0.950,0.840,0
R57,Bottom,1.030,1.250,90
R58,Bottom,0.980,1.360,90
R59,Bottom,0.330,1.260,90
R60,Bottom,1.030,1.630,270
R61,Bottom,0.980,1.510,270
R62,Bottom,0.370,1.370,90
R63,Bottom,0.330,1.620,270
R64,Bottom,0.370,1.510,270
R65,Top,0.330,1.630,270
R66,Top,0.360,1.520,270
R67,Top,0.330,1.250,90
R68,Top,0.360,1.360,90
R69,Top,1.020,1.240,90
R70,Top,0.980,1.350,90
R71,Top,1.010,1.630,270
R72,Top,0.980,1.520,270
