Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "mux_capelet.brd" as of: 24/05/2016 19:07
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.824,1.928,0
C2,Top,1.264,1.928,0
C3,Top,0.816,1.176,0
C4,Top,1.256,1.176,0
IC1,Top,0.808,2.126,90
IC2,Top,0.808,1.776,90
IC3,Top,1.238,1.776,90
IC4,Top,1.238,2.126,90
IC5,Top,0.808,1.376,90
IC6,Top,0.808,1.026,90
IC7,Top,1.238,1.024,90
IC8,Top,1.238,1.376,90
R1,Top,1.552,2.544,90
R2,Top,1.552,2.408,270
R3,Top,1.272,2.544,90
R4,Top,1.176,2.544,90
R5,Top,1.080,2.544,90
R6,Top,0.984,2.544,90
R7,Top,0.888,2.544,90
R8,Top,0.792,2.544,90
R9,Top,0.696,2.544,90
R10,Top,0.600,2.544,90
R11,Top,0.376,2.544,270
